"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Deino","Dragon Breath","Dragon Pulse","7.755","90.7","14.34","1062"
"Shadow Loudred","Bite","Disarming Voice","7.743","91.1","14.34","1327"
"Tepig","Ember","Flamethrower","7.649","94.5","14.34","1083"
"Togetic","Hidden Power (Flying)","Ancient Power","6.631","145.2","14.34","1708"
"Shadow Aipom","Astonish","Swift","7.726","91.4","14.33","1348"
"Timburr","Pound","Low Sweep","7.423","103","14.33","1315"
"Loudred","Rock Smash","Flamethrower","7.392","104.4","14.33","1327"
"Shadow Drowzee","Confusion","Psyshock","7.298","108.3","14.33","1040"
"Pachirisu","Spark","Thunderbolt","6.61","145.8","14.33","1213"
"Sinistea","Sucker Punch","Psychic","7.973","82.9","14.32","1139"
"Turtwig","Razor Leaf","Energy Ball","7.405","103.4","14.32","1187"
"Palpitoad","Mud Shot","Water Pulse","7.067","119.2","14.32","1392"
"Lickitung","Zen Headbutt","Body Slam","6.511","152.5","14.32","1411"
"Diggersby","Quick Attack","Fire Punch","6.395","160.7","14.32","1509"
"Bastiodon","Iron Tail","Flamethrower","5.867","208.3","14.32","1539"
"Shadow Nidorina","Poison Sting","Poison Fang","7.322","106.9","14.31","1309"
"Corsola","Tackle","Rock Blast","6.845","130.8","14.31","1378"
"Corsola","Bubble","Bubble Beam","6.843","130.7","14.31","1378"
"Shadow Bellsprout","Acid","Wrap","8.893","59.4","14.3","1033"
"Shadow Bagon","Ember","Crunch","8.274","73.9","14.3","1156"
"Hisuian Growlithe","Bite","Crunch","7.586","95.8","14.3","1322"
"Grimer","Mud Slap","Mud Bomb","7.276","108.7","14.3","1374"
"Dustox","Struggle Bug","Sludge Bomb","6.689","139.7","14.3","1224"
"5th Anniversary Pikachu","Quick Attack","Wild Charge","8.096","78.6","14.29","938"
"Flying Pikachu","Quick Attack","Wild Charge","8.096","78.6","14.29","938"
"Pikachu","Quick Attack","Wild Charge","8.096","78.6","14.29","938"
"Shadow Ducklett","Water Gun","Brave Bird","7.828","86.9","14.29","856"
"Vibrava","Mud Shot","Bug Buzz","7.673","92.3","14.29","1225"
"Bastiodon","Smack Down","Flash Cannon","5.852","207.8","14.29","1539"
"Tepig","Tackle","Flamethrower","7.616","94.1","14.28","1083"
"Dunsparce","Rollout","Dig","6.465","154","14.28","1689"
"Electrike","Quick Attack","Discharge","8.308","72.4","14.27","965"
"Vibrava","Mud Shot","Bulldoze","7.665","92.2","14.27","1225"
"Buneary","Pound","Swift","7.455","100","14.27","1258"
"Dwebble","Cut","X-Scissor","7.24","109.2","14.27","1224"
"Shuppet","Feint Attack","Return","8.511","67.1","14.26","1018"
"Sandile","Bite","Bulldoze","8.267","73.2","14.26","1037"
"Shadow Mudkip","Tackle","Stomp","8.121","77.1","14.26","1128"
"Delibird","Quick Attack","Return","7.937","82.7","14.26","1094"
"Oshawott","Water Gun","Aqua Tail","7.799","87.1","14.26","1046"
"Snover","Powder Snow","Ice Beam","7.353","104.1","14.26","1159"
"Tranquill","Steel Wing","Heat Wave","7.288","106.8","14.26","1442"
"Whirlipede","Poison Sting","Sludge Bomb","6.961","122.6","14.26","1144"
"Pidgeot","Wing Attack","Feather Dance","6.402","157.7","14.26","2129"
"Delibird","Ice Shard","Ice Punch","7.931","82.6","14.25","1094"
"Elekid","Low Kick","Thunder Punch","7.734","89","14.25","1206"
" Flabébé","Vine Whip","Dazzling Gleam","7.46","99.2","14.25","1063"
"Mime Jr.","Confusion","Psyshock","7.836","85.4","14.24","1095"
"Koffing","Acid","Sludge","7.284","106.5","14.24","1214"
"Amaura","Powder Snow","Ancient Power","7","119.9","14.24","1363"
"Dustox","Confusion","Sludge Bomb","6.661","139.1","14.24","1224"
"Togetic","Extrasensory","Ancient Power","6.582","144.1","14.24","1708"
"Cubchoo","Charm","Ice Punch","8.014","79.7","14.23","1069"
"Machop","Rock Smash","Low Sweep","7.552","95.1","14.23","1278"
"Teddiursa","Lick","Crunch","7.531","95.9","14.23","1328"
"Sableye","Feint Attack","Shadow Sneak","7.12","113.4","14.22","1476"
"Mudkip","Tackle","Return","7.73","88.1","14.2","1128"
"Shadow Koffing","Tackle","Dark Pulse","7.601","92.6","14.2","1214"
"Tranquill","Air Slash","Heat Wave","7.259","106.3","14.2","1442"
"Castform","Hex","Energy Ball","6.714","134.2","14.2","1632"
"Mareep","Tackle","Thunderbolt","7.881","82.8","14.19","991"
"Silicobra","Mud Slap","Earth Power","7.218","107.8","14.19","1081"
"Alolan Sandshrew","Powder Snow","Return","7.187","109.2","14.19","1293"
"Carkol","Incinerate","Flame Charge","6.38","156.1","14.19","1512"
"Geodude","Tackle","Dig","7.361","101.4","14.18","1293"
"Rufflet","Peck","Rock Tomb","7.26","105.5","14.18","1491"
"Nidorino","Poison Jab","Horn Attack","7.212","107.8","14.18","1393"
"Aron","Metal Claw","Body Slam","7.039","115.8","14.18","1307"
"Vullaby","Air Slash","Dark Pulse","6.707","134","14.18","1271"
"Growlithe","Bite","Body Slam","7.605","91.8","14.17","1243"
"Sandshrew","Scratch","Dig","7.293","103.9","14.17","1261"
"Mightyena","Ice Fang","Poison Fang","6.783","129.4","14.17","1926"
"Wormadam (Trash Cloak)","Bug Bite","Psybeam","6.512","146","14.17","1593"
"Sandile","Bite","Dig","8.209","72.7","14.16","1037"
"Poliwhirl","Bubble","Mud Bomb","6.967","118.8","14.16","1419"
"Poliwhirl","Mud Shot","Scald","6.963","118.7","14.15","1419"
"Castform","Hex","Hurricane","6.694","133.8","14.15","1632"
"Bastiodon","Smack Down","Flamethrower","5.795","205.8","14.15","1539"
"Karrablast","Peck","Signal Beam","7.809","84","14.14","1182"
"Pidgeotto","Wing Attack","Aerial Ace","7.236","105.5","14.14","1194"
"Aron","Metal Claw","Rock Tomb","7.019","115.5","14.14","1307"
"Dusclops","Hex","Ice Punch","6.435","150.1","14.14","1591"
"Shadow Drowzee","Pound","Psyshock","7.2","106.9","14.13","1040"
"Hippopotas","Bite","Body Slam","6.962","118.2","14.13","1358"
"Prinplup","Bubble","Icy Wind","6.776","128.2","14.13","1701"
"Helioptile","Quick Attack","Discharge","8.113","74.3","14.12","933"
"Cubchoo","Powder Snow","Ice Punch","7.954","79.1","14.12","1069"
"Grubbin","Bug Bite","X-Scissor","7.898","80.6","14.12","984"
"Mareep","Tackle","Discharge","7.843","82.4","14.12","991"
"Hisuian Growlithe","Ember","Crunch","7.49","94.5","14.12","1322"
"Medicham","Psycho Cut","Ice Punch","6.703","132.1","14.12","1431"
"Clamperl","Water Gun","Body Slam","7.414","97.2","14.11","1270"
"Turtwig","Tackle","Return","7.3","102","14.11","1187"
"Minun","Spark","Swift","6.719","130.8","14.11","1694"
"Dusclops","Feint Attack","Ice Punch","6.42","149.8","14.11","1591"
"Shadow Delibird","Ice Shard","Icy Wind","8.213","71.3","14.1","1094"
"Mankey","Karate Chop","Low Sweep","8.123","73.8","14.1","1164"
"Chewtle","Bite","Surf","7.826","82.5","14.1","993"
"Blitzle","Spark","Thunderbolt","8.419","66","14.09","882"
"Ekans","Acid","Sludge Bomb","7.967","78","14.09","927"
"Sandshrew","Scratch","Rock Slide","7.251","103.3","14.09","1261"
"Prinplup","Metal Claw","Icy Wind","6.755","127.8","14.09","1701"
"Delibird","Ice Shard","Return","7.839","81.7","14.08","1094"
"Shadow Ducklett","Wing Attack","Brave Bird","7.711","85.6","14.08","856"
"Shadow Snover","Ice Shard","Stomp","7.599","89.6","14.08","1159"
"Golett","Astonish","Return","7.493","93.5","14.08","1189"
"Shadow Delibird","Quick Attack","Icy Wind","8.195","71.2","14.07","1094"
"Shadow Numel","Ember","Stomp","8.068","74.6","14.07","1057"
"Shadow Totodile","Water Gun","Crunch","7.741","84.4","14.07","1131"
"Drilbur","Scratch","Rock Tomb","7.591","89.6","14.07","1376"
"Dusclops","Hex","Fire Punch","6.4","149.3","14.07","1591"
"Zorua","Feint Attack","Aerial Ace","8.183","71.3","14.06","1175"
"Pidgeotto","Steel Wing","Aerial Ace","7.194","104.8","14.06","1194"
"Phanpy","Tackle","Return","6.885","119.9","14.06","1206"
"Buneary","Quick Attack","Fire Punch","7.344","98.5","14.05","1258"
"Shadow Nidorina","Poison Sting","Dig","7.186","104.9","14.05","1309"
"Vanillish","Astonish","Signal Beam","6.985","114.2","14.05","1591"
"Dusclops","Feint Attack","Fire Punch","6.392","149.1","14.05","1591"
"Carbink","Tackle","Power Gem","5.923","187.4","14.05","1467"
"Shadow Vibrava","Dragon Breath","Sand Tomb","7.893","79.1","14.04","1225"
"Phantump","Astonish","Seed Bomb","7.632","87.5","14.04","1123"
"Clamperl","Water Gun","Water Pulse","7.379","96.8","14.04","1270"
"Sandshrew","Mud Shot","Dig","7.23","103","14.04","1261"
"Araquanid","Infestation","Mirror Coat","6.006","179.5","14.04","1827"
"Riolu","Counter","Brick Break","8.168","71.2","14.03","993"
"Pikachu Libre","Charm","Flying Press","7.947","77.1","14.03","938"
"Golett","Mud Slap","Night Shade","7.465","93.1","14.03","1189"
"Amaura","Powder Snow","Aurora Beam","6.897","118.1","14.03","1363"
"Trapinch","Struggle Bug","Crunch","8.042","74.2","14.02","1274"
"Bulbasaur","Tackle","Seed Bomb","7.458","93.3","14.02","1115"
"Shadow Ekans","Acid","Gunk Shot","8.291","67.7","14.01","927"
"Helioptile","Thunder Shock","Discharge","8.05","73.8","14.01","933"
"Salandit","Poison Jab","Dragon Pulse","7.915","77.8","14.01","1122"
"Totodile","Scratch","Return","7.365","96.3","14.01","1131"
"Togetic","Zen Headbutt","Ancient Power","6.475","141.8","14.01","1708"
"Shadow Shellder","Tackle","Bubble Beam","7.859","79.2","14","1080"
"Swadloon","Struggle Bug","Energy Ball","6.637","131.3","14","1370"
"Shinx","Spark","Thunderbolt","8.36","65.5","13.99","876"
"Sandile","Mud Slap","Bulldoze","8.106","71.8","13.99","1037"
"Shadow Mudkip","Tackle","Sludge","7.969","75.7","13.99","1128"
"Deino","Dragon Breath","Crunch","7.568","88.5","13.99","1062"
"Bonsly","Counter","Earthquake","7.039","109.9","13.99","1302"
"Mawile","Fire Fang","Vise Grip","6.946","114.3","13.99","1634"
"Ariados","Infestation","Shadow Sneak","6.787","122.4","13.99","1772"
"Solosis","Hidden Power (Psychic)","Night Shade","7.915","77","13.98","1367"
"Mime Jr.","Pound","Psyshock","7.694","83.8","13.98","1095"
"Shadow Loudred","Rock Smash","Disarming Voice","7.549","88.8","13.98","1327"
"Chikorita","Vine Whip","Grass Knot","7.279","99","13.98","935"
"Shadow Horsea","Bubble","Dragon Pulse","8.311","66.4","13.97","1056"
"Shadow Larvitar","Rock Smash","Ancient Power","7.96","75.6","13.97","1040"
"Magby","Ember","Brick Break","7.618","86.2","13.97","1323"
"Shadow Hippopotas","Tackle","Rock Tomb","7.204","102","13.97","1358"
"Corsola","Tackle","Bubble Beam","6.68","127.6","13.97","1378"
"Shadow Mudkip","Water Gun","Dig","7.955","75.5","13.96","1128"
"Rock Star Pikachu","Thunder Shock","Meteor Mash","7.908","76.7","13.96","938"
"Krabby","Bubble","Vise Grip","7.618","86","13.96","1561"
"Voltorb","Spark","Thunderbolt","7.53","88.9","13.96","1010"
"Growlithe","Ember","Body Slam","7.49","90.4","13.96","1243"
"Foongus","Feint Attack","Grass Knot","7.267","98.9","13.96","979"
"Aegislash - Shield ","Psycho Cut","Gyro Ball","5.695","205.6","13.96","1595"
"Anorith","Scratch","Aqua Jet","7.589","86.6","13.95","1529"
"Porygon","Hidden Power (Fire)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Fighting)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Water)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Flying)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Grass)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Poison)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Electric)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Ground)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Psychic)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Rock)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Ice)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Bug)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Dragon)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Ghost)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Dark)","Psybeam","6.712","125.2","13.95","1720"
"Porygon","Hidden Power (Steel)","Psybeam","6.712","125.2","13.95","1720"
"Ledian","Struggle Bug","Dynamic Punch","6.467","140.2","13.95","1346"
"Carvanha","Bite","Aqua Jet","9.16","49.1","13.94","1020"
"Blitzle","Spark","Discharge","8.333","65.3","13.94","882"
"Grookey","Razor Leaf","Energy Ball","7.622","85.2","13.94","1086"
"Shadow Sandshrew","Scratch","Rock Tomb","7.513","89.2","13.94","1261"
" Flabébé","Tackle","Dazzling Gleam","7.3","97.1","13.94","1063"
"Shadow Patrat","Bite","Hyper Fang","8.481","61.7","13.93","791"
"Shadow Nidoran♀","Poison Sting","Sludge Bomb","7.894","76.4","13.93","816"
"Bagon","Bite","Flamethrower","7.697","82.5","13.93","1156"
"Numel","Ember","Return","7.631","84.6","13.93","1057"
"Shadow Onix","Rock Throw","Stone Edge","6.763","121.7","13.93","1101"
"Ariados","Poison Sting","Shadow Sneak","6.761","122","13.93","1772"
"Azumarill","Rock Smash","Ice Beam","6.067","168.7","13.93","1588"
"Sandile","Mud Slap","Dig","8.067","71.5","13.92","1037"
"Spoink","Zen Headbutt","Psybeam","6.94","112.2","13.92","1334"
"Swadloon","Bug Bite","Silver Wind","6.602","130.6","13.92","1370"
"Shadow Shuppet","Astonish","Night Shade","8.69","57.1","13.91","1018"
"Sandshrew","Mud Shot","Rock Slide","7.161","102","13.91","1261"
"Shadow Alolan Rattata","Quick Attack","Hyper Fang","8.974","51.6","13.9","734"
"Shadow Rattata","Quick Attack","Hyper Fang","8.974","51.6","13.9","734"
"Koffing","Tackle","Return","7.109","103.9","13.9","1214"
"Shadow Totodile","Scratch","Crunch","7.642","83.3","13.89","1131"
"Silicobra","Mud Shot","Earth Power","7.065","105.5","13.89","1081"
"Panpour","Water Gun","Surf","7.539","86.7","13.88","956"
"Shadow Phanpy","Rock Smash","Body Slam","7.11","103.2","13.88","1206"
"Roggenrola","Tackle","Rock Blast","7.169","100.1","13.86","1205"
"Snover","Ice Shard","Return","7.147","101.2","13.86","1159"
"Aipom","Scratch","Low Sweep","7.139","101.3","13.86","1348"
"Mankey","Scratch","Low Sweep","7.978","72.5","13.85","1164"
"Elgyem","Astonish","Psybeam","7.315","94","13.85","1385"
"Alolan Sandshrew","Powder Snow","Gyro Ball","7.016","106.6","13.85","1293"
"Lombre","Razor Leaf","Bubble Beam","6.944","109.8","13.85","1197"
"Spoink","Zen Headbutt","Mirror Coat","6.906","111.6","13.85","1334"
"Pachirisu","Volt Switch","Thunderbolt","6.391","141","13.85","1213"
"Shinx","Spark","Discharge","8.273","64.9","13.84","876"
"Bagon","Ember","Return","7.647","82","13.84","1156"
"Goldeen","Mud Shot","Aqua Tail","7.373","91.5","13.84","1152"
"Deerling","Tackle","Energy Ball","7.212","97.9","13.84","1135"
"Shadow Numel","Tackle","Stomp","7.935","73.3","13.83","1057"
"Minun","Quick Attack","Swift","6.584","128.2","13.83","1694"
"Shadow Alolan Rattata","Tackle","Hyper Fang","8.923","51.3","13.82","734"
"Shadow Rattata","Tackle","Hyper Fang","8.923","51.3","13.82","734"
"Spearow","Quick Attack","Drill Peck","8.49","59.7","13.82","798"
"Blitzle","Quick Attack","Thunderbolt","8.26","64.8","13.82","882"
"5th Anniversary Pikachu","Thunder Shock","Fly","7.827","76","13.82","938"
"Flying Pikachu","Thunder Shock","Fly","7.827","76","13.82","938"
"Sinistea","Astonish","Psychic","7.697","80","13.82","1139"
"Oddish","Razor Leaf","Moonblast","7.334","92.4","13.82","1228"
"Doduo","Peck","Swift","8.074","69.2","13.81","1200"
"Zorua","Scratch","Aerial Ace","8.041","70.1","13.81","1175"
"Shadow Mareep","Thunder Shock","Body Slam","8.027","70.3","13.81","991"
"Growlithe","Bite","Flame Wheel","7.412","89.4","13.81","1243"
"Lileep","Acid","Return","6.482","133.6","13.81","1291"
"Corphish","Rock Smash","Bubble Beam","7.567","83.8","13.8","1230"
"Numel","Tackle","Return","7.561","83.8","13.8","1057"
"Mawile","Bite","Vise Grip","6.851","112.7","13.8","1634"
"5th Anniversary Pikachu","Thunder Shock","Thunderbolt","7.811","75.8","13.79","938"
"Flying Pikachu","Thunder Shock","Thunderbolt","7.811","75.8","13.79","938"
"Pikachu","Thunder Shock","Thunderbolt","7.811","75.8","13.79","938"
"Mareep","Thunder Shock","Return","7.66","80.4","13.79","991"
"Kabuto","Mud Shot","Rock Tomb","7.319","92.1","13.79","1370"
"Munna","Charge Beam","Psyshock","7.044","103.6","13.79","1145"
"Poliwhirl","Mud Shot","Water Pulse","6.787","115.7","13.79","1419"
"Spearow","Peck","Sky Attack","8.467","59.5","13.78","798"
"Shadow Nosepass","Rock Throw","Rock Slide","6.936","107.9","13.78","993"
"Lickitung","Zen Headbutt","Stomp","6.265","146.7","13.78","1411"
"Diggersby","Mud Shot","Fire Punch","6.155","154.7","13.78","1509"
"Snorlax","Yawn","Earthquake","5.35","235.7","13.78","3225"
"Shuppet","Astonish","Return","8.218","64.8","13.77","1018"
"Shadow Nidoran♀","Bite","Sludge Bomb","7.808","75.6","13.77","816"
"Staryu","Water Gun","Power Gem","7.684","79.2","13.77","1157"
"Joltik","Sucker Punch","Discharge","7.412","88.4","13.77","1023"
"Blitzle","Quick Attack","Discharge","8.226","64.5","13.76","882"
"Elgyem","Astonish","Dark Pulse","7.268","93.4","13.76","1385"
"Bonsly","Counter","Rock Tomb","6.923","108.1","13.76","1302"
"Paras","Scratch","Seed Bomb","7.738","77.1","13.75","1018"
"Shadow Koffing","Infestation","Dark Pulse","7.361","89.7","13.75","1214"
"Venonat","Bug Bite","Return","7.164","97.2","13.75","1004"
"Hippopotas","Tackle","Body Slam","6.772","115","13.75","1358"
"Chansey","Pound","Hyper Beam","5.171","257.6","13.74","1255"
"Skrelp","Acid","Aqua Tail","7.222","94.5","13.73","1063"
"Shadow Onix","Rock Throw","Heavy Slam","6.665","119.9","13.73","1101"
"Delibird","Quick Attack","Aerial Ace","7.639","79.6","13.72","1094"
"Snubbull","Bite","Crunch","7.401","87.3","13.72","1237"
"Rowlet","Razor Leaf","Seed Bomb","7.024","102.2","13.72","1058"
"Cacnea","Sucker Punch","Brick Break","7.833","73.5","13.71","1242"
"Shadow Larvitar","Bite","Stomp","7.813","74.2","13.71","1040"
"Dustox","Struggle Bug","Bug Buzz","6.412","133.9","13.71","1224"
"Staryu","Quick Attack","Bubble Beam","7.648","78.9","13.7","1157"
"Magby","Karate Chop","Brick Break","7.473","84.5","13.7","1323"
"Voltorb","Spark","Discharge","7.39","87.2","13.7","1010"
"Joltik","Sucker Punch","Bug Buzz","7.372","87.9","13.7","1023"
"Servine","Vine Whip","Wrap","6.501","128.1","13.7","1441"
"Togetic","Hidden Power (Fire)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Fighting)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Water)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Grass)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Poison)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Electric)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Ground)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Psychic)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Rock)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Ice)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Bug)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Dragon)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Ghost)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Dark)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Steel)","Ancient Power","6.333","138.7","13.7","1708"
"Skrelp","Water Gun","Aqua Tail","7.2","94.2","13.69","1063"
"Oshawott","Tackle","Aqua Tail","7.48","83.6","13.68","1046"
"Shadow Venonat","Confusion","Signal Beam","7.46","84.3","13.68","1004"
"Jangmo-o","Dragon Tail","Dragon Claw","7.317","89.3","13.68","969"
"Woobat","Confusion","Psyshock","7.298","90.2","13.68","1016"
"Dustox","Confusion","Bug Buzz","6.397","133.6","13.68","1224"
"Electrike","Spark","Return","7.958","69.3","13.67","965"
"Ekans","Poison Sting","Sludge Bomb","7.725","75.7","13.67","927"
"Kirlia","Confusion","Return","7.77","74.2","13.66","966"
"Cubchoo","Charm","Play Rough","7.685","76.4","13.65","1069"
"Delibird","Ice Shard","Aerial Ace","7.595","79.1","13.65","1094"
"Shadow Pineco","Bug Bite","Gyro Ball","7.326","88.2","13.65","1108"
"Cufant","Tackle","Dig","7.053","99.1","13.65","1377"
"Dwebble","Cut","Rock Blast","6.926","104.5","13.65","1224"
"Shadow Onix","Tackle","Rock Slide","6.627","119.3","13.65","1101"
"Shinx","Tackle","Discharge","8.154","63.9","13.64","876"
"Kirlia","Charge Beam","Psychic","7.76","74.1","13.64","966"
"Salandit","Poison Jab","Poison Fang","7.703","75.7","13.64","1122"
"Buneary","Quick Attack","Swift","7.129","95.6","13.64","1258"
"Turtwig","Tackle","Energy Ball","7.058","98.6","13.64","1187"
"Staryu","Tackle","Bubble Beam","7.608","78.4","13.63","1157"
"Fennekin","Scratch","Flamethrower","7.489","82.1","13.63","1028"
"Dunsparce","Astonish","Dig","6.169","146.9","13.63","1689"
"Porygon","Charge Beam","Psybeam","6.556","122.3","13.62","1720"
"Aegislash - Shield ","Psycho Cut","Flash Cannon","5.555","200.5","13.62","1595"
"Oddish","Acid","Moonblast","7.224","91","13.61","1228"
"Drowzee","Confusion","Psychic","6.627","118","13.61","1040"
"Shadow Roggenrola","Tackle","Bulldoze","7.364","85.7","13.6","1205"
"Stunky","Scratch","Flamethrower","7.195","91.8","13.6","1151"
"Turtwig","Razor Leaf","Body Slam","7.037","98.3","13.6","1187"
"Shinx","Tackle","Thunderbolt","8.123","63.7","13.59","876"
"Shadow Dratini","Iron Tail","Aqua Tail","7.995","66.7","13.59","1004"
"Cacnea","Sucker Punch","Payback","7.763","72.9","13.59","1242"
"Goldeen","Peck","Aqua Tail","7.243","89.8","13.59","1152"
"Palpitoad","Bubble","Sludge Wave","6.706","113.1","13.59","1392"
"Bayleef","Razor Leaf","Ancient Power","6.422","128.8","13.59","1454"
"Growlithe","Ember","Flame Wheel","7.286","87.9","13.58","1243"
"Gabite","Take Down","Twister","6.607","118.1","13.58","1874"
"Dwebble","Smack Down","Rock Tomb","6.888","103.9","13.57","1224"
"Lombre","Razor Leaf","Ice Beam","6.806","107.6","13.57","1197"
"Shadow Patrat","Tackle","Grass Knot","8.256","60.1","13.56","791"
"Petilil","Hidden Power (Grass)","Seed Bomb","7.529","79.2","13.56","1030"
"Joltik","Charge Beam","Discharge","7.298","87","13.56","1023"
"Bulbasaur","Tackle","Return","7.209","90.1","13.56","1115"
"Cutiefly","Fairy Wind","Dazzling Gleam","7.826","70.4","13.55","888"
"5th Anniversary Pikachu","Thunder Shock","Discharge","7.677","74.5","13.55","938"
"Flying Pikachu","Thunder Shock","Discharge","7.677","74.5","13.55","938"
"Pikachu","Thunder Shock","Discharge","7.677","74.5","13.55","938"
"Carbink","Tackle","Moonblast","5.712","180.7","13.55","1467"
"Larvitar","Bite","Return","7.37","84","13.54","1040"
"Psyduck","Zen Headbutt","Aqua Tail","7.337","85.1","13.54","1106"
"Munna","Zen Headbutt","Dazzling Gleam","6.913","101.6","13.54","1145"
"Spritzee","Charm","Draining Kiss","6.588","117.6","13.54","1252"
"Carvanha","Snarl","Aqua Jet","8.894","47.7","13.53","1020"
"Shadow Spoink","Splash","Shadow Ball","7.063","95.1","13.53","1334"
"Shadow Mareep","Tackle","Body Slam","7.858","68.8","13.52","991"
"Grookey","Scratch","Energy Ball","7.396","82.7","13.52","1086"
"Shadow Squirtle","Bubble","Aqua Tail","7.393","82.6","13.52","946"
"Shadow Mawile","Ice Fang","Vise Grip","7.026","96.4","13.52","1634"
"Shadow Shuppet","Feint Attack","Shadow Sneak","8.436","55.4","13.51","1018"
"Paras","Scratch","X-Scissor","7.606","75.8","13.51","1018"
"Kabuto","Scratch","Aqua Jet","7.173","90.3","13.51","1370"
"Gothita","Confusion","Psychic","7.168","90.3","13.51","951"
"Eevee","Quick Attack","Body Slam","6.936","100","13.51","1071"
"Wartortle","Water Gun","Aqua Jet","6.405","126.9","13.51","1488"
"Shadow Golett","Astonish","Brick Break","7.516","78.1","13.5","1189"
"Fennekin","Ember","Flamethrower","7.421","81.3","13.5","1028"
"Gible","Mud Shot","Dig","7.346","83.8","13.5","1112"
"Pansage","Vine Whip","Seed Bomb","7.329","84.3","13.5","956"
"Shadow Alolan Sandshrew","Powder Snow","Night Slash","7.158","90.6","13.5","1293"
"Eevee","Tackle","Body Slam","6.927","99.8","13.5","1071"
"Drowzee","Pound","Psychic","6.569","117","13.5","1040"
"Sobble","Water Gun","Water Pulse","7.601","75.4","13.49","1097"
"Snubbull","Bite","Brick Break","7.281","85.9","13.49","1237"
"Joltik","Charge Beam","Bug Buzz","7.26","86.5","13.49","1023"
"Rhyhorn","Rock Smash","Horn Attack","6.362","128.5","13.49","1651"
"Horsea","Water Gun","Bubble Beam","7.662","73.4","13.48","1056"
"Cubchoo","Powder Snow","Play Rough","7.592","75.5","13.48","1069"
"Anorith","Struggle Bug","Aqua Jet","7.332","83.7","13.48","1529"
"Hisuian Voltorb","Tackle","Thunderbolt","7.271","85.8","13.48","1010"
"Voltorb","Tackle","Thunderbolt","7.271","85.8","13.48","1010"
"Shadow Sandshrew","Mud Shot","Rock Tomb","7.261","86.2","13.48","1261"
"Farfetch'd","Cut","Air Cutter","6.958","97.9","13.48","1236"
"Koffing","Tackle","Sludge","6.895","100.8","13.48","1214"
"Drifloon","Hex","Ominous Wind","6.894","100.9","13.48","1197"
"Galarian Meowth","Metal Claw","Gyro Ball","7.343","82.9","13.46","1035"
"Woobat","Air Slash","Psyshock","7.178","88.7","13.46","1016"
"Foongus","Astonish","Grass Knot","7.007","95.4","13.46","979"
"Shadow Bagon","Bite","Twister","7.783","69.5","13.45","1156"
"Shadow Mudkip","Tackle","Dig","7.664","72.8","13.45","1128"
"Snubbull","Tackle","Crunch","7.26","85.6","13.45","1237"
"Shadow Foongus","Feint Attack","Energy Ball","7.323","83.1","13.44","979"
"Deino","Tackle","Dragon Pulse","7.269","85","13.44","1062"
"Petilil","Charm","Seed Bomb","7.46","78.5","13.43","1030"
"Geodude","Tackle","Rock Tomb","6.974","96","13.43","1293"
"Koffing","Infestation","Return","6.867","100.4","13.43","1214"
"Nidorino","Poison Sting","Dig","6.832","102.2","13.43","1393"
"Exeggcute","Bullet Seed","Seed Bomb","6.664","110.1","13.43","1175"
"Buizel","Water Gun","Water Pulse","7.712","70.7","13.42","1054"
"Golett","Mud Slap","Brick Break","7.139","89.1","13.42","1189"
"Roggenrola","Tackle","Stone Edge","6.941","96.9","13.42","1205"
